"dates","means","Low","High","Type","country"
2020-04-15,0.105627195497862,2.69269745853395e-05,0.316860307140351,"Error 1","hongkong"
2020-04-15,0.109727084402619,6.96132190791116e-10,0.328712981950553,"No misidentification","hongkong"
2020-04-15,0.113092869429596,2.88561069445555e-05,0.326191996281588,"Error 2","hongkong"
2020-04-16,0.123322437081501,8.9919886479925e-05,0.377097536664314,"Error 2","hongkong"
2020-04-16,0.123708125707641,0.000296784133601971,0.371095655617921,"Error 1","hongkong"
2020-04-16,0.124279702116596,7.88457123200736e-10,0.372308730347506,"No misidentification","hongkong"
2020-04-17,0.136249740138932,0.000121768514435138,0.407827826042307,"Error 2","hongkong"
2020-04-17,0.139678690351869,8.86151611982134e-10,0.418439978337881,"No misidentification","hongkong"
2020-04-17,0.141672018891436,9.81552864696908e-05,0.419590651040416,"Error 1","hongkong"
2020-04-18,0.151731946982695,1.81449085503715e-05,0.448227059331203,"Error 2","hongkong"
2020-04-18,0.160988868802601,1.02134796110434e-09,0.482279570381861,"No misidentification","hongkong"
2020-04-18,0.161391728962426,2.66542776600279e-05,0.492272340441398,"Error 1","hongkong"
2020-04-19,0.186502555366924,1.18321226853467e-09,0.558711747877231,"No misidentification","hongkong"
2020-04-19,0.187822315608957,9.4452756410273e-05,0.554829789274834,"Error 1","hongkong"
2020-04-19,0.193237144452205,0.000183347266855954,0.590860371510285,"Error 2","hongkong"
2020-04-20,0.206216686289421,0.000216248627269988,0.620624888788678,"Error 1","hongkong"
2020-04-20,0.215107257459569,1.36468664236944e-09,0.644403780741052,"No misidentification","hongkong"
2020-04-20,0.22174430567617,8.95130707985938e-05,0.671162594704408,"Error 2","hongkong"
2020-04-21,0.227326294764532,5.16072661961853e-05,0.645932283649069,"Error 1","hongkong"
2020-04-21,0.248255961632175,1.57498914136678e-09,0.743708427863472,"No misidentification","hongkong"
2020-04-21,0.261357532706611,0.000138457746411478,0.8135739635071,"Error 2","hongkong"
2020-04-22,0.284316854162233,1.8037671887878e-09,0.85173721200449,"No misidentification","hongkong"
2020-04-22,0.284913285531458,0.000166430625471566,0.850912050839491,"Error 2","hongkong"
2020-04-22,0.295317801556576,2.04812820762054e-05,0.912088447754587,"Error 1","hongkong"
2020-04-23,0.280523704139146,3.09263768158985e-05,0.846198676926722,"Error 1","hongkong"
2020-04-23,0.296367761158643,0.000213898833157949,0.877135968510826,"Error 2","hongkong"
2020-04-23,0.302748456951505,1.92070123564909e-09,0.906953361672321,"No misidentification","hongkong"
2020-04-24,0.300610589787338,7.72790576853144e-05,0.935245777388018,"Error 1","hongkong"
2020-04-24,0.314962323829077,1.99818863043228e-09,0.943542838412104,"No misidentification","hongkong"
2020-04-24,0.321383299046421,8.85480007183359e-05,0.997709118442464,"Error 2","hongkong"
2020-04-25,0.698855855205096,0.014802921305316,1.66508285486118,"No misidentification","hongkong"
2020-04-25,0.699027119256418,0.0220205433586129,1.67512327803113,"Error 2","hongkong"
2020-04-25,0.708121504008244,0.0257894383299864,1.70914936927176,"Error 1","hongkong"
